                                                                                                                                                                                                                                                          ,,,,,
"Source: USCIS, data as of August 10, 2018. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment or may be reported inaccurately. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. Instead of the required degree, a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,
Employer Tax Number (Last 4 digits),Employer Name,Number of Approved Petitions,Average Salary,Beneficiary's Degree/Diploma,
9420,ROWAN COMPANIES INC,D,"$150,000",Bachelor's,D
 , , , ,Master's Degree,D
3101,FEDERAL RESERVE BANK OF DALL,D,"$163,178",Doctorate,D
0691,TEXAS WESLEYAN UNIV,D,"$41,733",Bachelor's,D
 , , , ,Master's Degree,D
8798,KNOX COUNTY HOSP DIST,D,"$39,354",Bachelor's,D
7446,HENDRICK MED CENTER,D,"$78,614",Doctorate,D
 , , , ,Master's Degree,D
0377,LUBBOCK ELECTRIC CO INC,D,"$36,400",Bachelor's,D
 , , , ,Master's Degree,D
7527,TEXAS HLTH PRESBYTERIAN HOSP,D,"$50,747",Bachelor's,D
 , , , ,Professional Degree,D
5131,7 - ELEVEN INC,D,"$70,963",Bachelor's,D
 , , , ,Master's Degree,D
1701,MARY KAY INC,D,"$93,550",Bachelor's,D
 , , , ,Master's Degree,D
7293,HUNT MEMORIAL HOSPITAL DISTR,D,"$67,683",Master's Degree,D
0831,EAGLE MTN INTL CHURCH INC DB,D,"$126,025",Bachelor's,D
1362,UNIV MEDICAL CTR,D,"$56,760",Bachelor's,D
8644,AKIN GUMP STRAUSS HAUER & FE,D,"$220,000",Professional Degree,D
3493,UNIV OF TEXAS OF THE PERMIAN,D,"$84,000",Doctorate,D
6988,THE UNIV OF TEXAS AT TYLER,D,"$70,000",Doctorate,D
 , , , ,Master's Degree,D
2427,TEMPLE-INLAND DBA INTL PAPER,D,"$74,030",Bachelor's,D
 , , , ,Master's Degree,D
1042,CAPACITY OF TEXAS INC,D,"$72,500",Bachelor's,D
 , , , ,Master's Degree,D
7088,BENCOR CORP OF AMERICA FOUND,D,"$72,615",Bachelor's,D
3139,FIRST STEP OF WICHITA FALLS,D,"$25,000",Bachelor's,D
2162,DALLAM HARTLEY COUNTIES HOSP,D,"$40,362",Bachelor's,D
1969,TURBOMECA USA INC,D,"$90,193",Bachelor's,D
9707,TEXOMA NEUROLOGY ASSOCIATES,D,"$160,000",Professional Degree,D
9877,ARMSTRONG FORENSIC LABORATOR,D,"$12,500",Bachelor's,D
 , , , ,Master's Degree,D
5710,SB INTERNATIONAL INC,D,"$47,500",Master's Degree,D
0158,SATELLINK INC,D,"$34,296",Doctorate,D
 , , , ,Master's Degree,D
4562,EAST TEXAS MEDICAL CENTER,D,"$41,725",Bachelor's,D
7383,HD SUPPLY INC,D,"$107,500",Bachelor's,D
8239,CASH AMERICA INTERNATIONAL I,D,"$76,500",Bachelor's,D
 , , , ,Master's Degree,D
3779,DEGOLYER AND MACNAUGHTON COR,D,"$115,800",Master's Degree,D
8219,UNITED COMMERCE CTRS INC DBA,D,"$11,733",Master's Degree,D
3365,DR PEPPER SEVEN UP INC,D,"$95,168",Bachelor's,D
 , , , ,Master's Degree,D
7752,GERON CORPORATION,D,"$117,500",Doctorate,D
9991,ALLEGRO DEVELOPMENT CORPORAT,D,"$73,000",Master's Degree,D
1801,REEVES COUNTY HOSP DIST,D,"$45,770",Bachelor's,D
4640,JACK RANKIN LLP,D,"$67,338",Master's Degree,D
6732,AKILI INC,D,"$87,500",Master's Degree,D
9007,AVENTURA HOSPITAL AND MEDICA,D,"$59,820",Bachelor's,D
7191,TARRANT NEPHROLOGY ASSOCIATE,D,"$50,166",Master's Degree,D
 , , , ,Professional Degree,D
3478,WHITLEY PENN LLP,D,"$56,500",Bachelor's,D
 , , , ,Master's Degree,D
9357,TOWN OF WESTLAKE DBA WESTLAK,D,"$65,373",Master's Degree,D
9829,ABACUS TECH SVCS INC A DIV O,D,"$93,600",Bachelor's,D
7002,EN POINTE TECHNOLOGIES INC,D,"$85,000",Bachelor's,D
6525,TOPWAY ENTERPRISES INC,D,"$43,466",Bachelor's,D
5705,MCR INVESTMENT CORP DBA ROYA,D,"$53,895",Bachelor's,D
6079,CHAMPIONS UNITED INC DBA WOR,D,"$36,000",Bachelor's,D
1201,BIMBO BAKERIES USA INC,D,"$91,300",Bachelor's,D
 , , , ,Master's Degree,D
4712,RS INTEREST LTD,D,"$109,200",Bachelor's,D
 , , , ,Master's Degree,D
9932,REEL FX INC,D,"$87,600",Bachelor's,D
5691,MEDSYNERGIES INC,D,"$74,691",Bachelor's,D
 , , , ,Master's Degree,D
7668,HUGULEY MEDICAL ASSOCIATES I,D,"$196,482",Professional Degree,D
2468,THE WISDOM CENTER,D,"$40,082",Master's Degree,D
6359,INFUSION SOLNS INC DBA TRINI,D,"$100,454",Bachelor's,D
8511,HUDSON ADVISORS LLC,D,"$83,585",Bachelor's,D
 , , , ,Master's Degree,D
9051,KOMPLETE GROUP INC DBA KPAK,D,"$64,500",Bachelor's,D
5801,GREATWALL INC DBA UNIVERSAL,D,"$52,655",Master's Degree,D
5821,EAST TEXAS MED CTR HEALTHCAR,D,"$191,500",Professional Degree,D
7399,COMMTECH CONSULTING SVCS INC,D,"$87,500",Bachelor's,D
 , , , ,Master's Degree,D
0132,COLUMBUS MEDICAL SERVICES,D,"$59,000",Master's Degree,D
2388,TEXAS HEALTH RESOURCES,D,"$81,942",Bachelor's,D
 , , , ,Master's Degree,D
5331,OPTIMIZED PROCESS DESIGNS LL,D,"$85,163",Master's Degree,D
1076,INFOBUILDERS INC,D,"$58,000",Bachelor's,D
 , , , ,Master's Degree,D
6788,ROSEWOOD HOTELS AND RESORTS,D,"$47,500",Bachelor's,D
6261,GENERAL DATATECH LP,D,"$122,500",Bachelor's,D
5055,TEMPO MECHANICAL SERVICES IN,D,"$58,698",Master's Degree,D
5566,CONVENANT HEALTH SYSTEM,D,"$26,439",Bachelor's,D
8694,AMERICAN PRO COMPUTER CONSUL,D,"$73,299",Bachelor's,D
 , , , ,Master's Degree,D
4151,MONARCH CERAMIC TILE INC,D,"$184,041",Bachelor's,D
0979,TRANSSOLUTIONS LLC,D,"$60,426",Doctorate,D
 , , , ,Master's Degree,D
2499,CUSTOM PHARMACY INNOVATIONS,D,"$65,065",Master's Degree,D
3498,SMCT INC DBA RAMADA INN,D,"$42,307",Bachelor's,D
5874,FAITH FAMILY ACADEMY OF OAK,D,"$49,859",Bachelor's,D
2132,ORAMETRIX INC,D,"$53,787",Master's Degree,D
4821,UNIFOCUS LP,D,"$60,250",Master's Degree,D
9130,PARAGO INC,D,"$87,500",Bachelor's,D
0592,SYSTEM SERVICES INC,D,"$86,000",Bachelor's,D
 , , , ,Master's Degree,D
5272,GENCORP TECHNOLOGIES INC DBA,D,"$72,500",Master's Degree,D
5604,BILLMATRIX CORPORATION,D,"$93,716",Master's Degree,D
8594,REAL TIME RESOLUTIONS INC,D,"$35,225",Bachelor's,D
 , , , ,Master's Degree,D
9576,BUILDER HOMESITE INC,D,"$89,500",Bachelor's,D
5475,KNOWLEDGE TRANZFER INC,D,"$80,000",Bachelor's,D
0162,REAL FDN INC D/B/A REAL FDNS,D,"$64,500",Master's Degree,D
5542,ESHIP GLOBAL INC,D,"$68,857",Master's Degree,D
7729,FTS INTERNATIONAL SERVICES L,D,"$91,500",Bachelor's,D
2657,HRSMART INC,D,"$69,000",Master's Degree,D
2061,HOTELS COM L P,D,"$74,500",Doctorate,D
 , , , ,Master's Degree,D
1442,CROSSVALE  INC,D,"$74,589",Master's Degree,D
0146,THE EVOLVERS GROUP LP,D,"$107,000",Master's Degree,D
7824,TETRA PAK GLOBAL INFO AMERIC,D,"$112,500",Bachelor's,D
 , , , ,Master's Degree,D
5314,THE ALASKA HOSPITALIST GROUP,D,"$273,600",Professional Degree,D
2486,DALLAS CHINA INTERNATIONAL I,D,"$55,000",Master's Degree,D
4485,SWINSOFT INC,D,"$75,000",Master's Degree,D
4851,HILIX INTL INC,D,"$56,478",Master's Degree,D
6094,PAC SEATING SYSTEMS INC,D,"$66,100",Master's Degree,D
2377,LINKYO CORP,D,"$51,375",Bachelor's,D
 , , , ,Master's Degree,D
0494,LULULEMON USA INC,D,"$126,250",Master's Degree,D
7930,COGENT HEALTHCARE OF FORT ME,D,"$189,987",Professional Degree,D
3610,YT RESOLUTION SERVICES LLC,D,"$22,963",Bachelor's,D
4019,EXODUS WIRELESS CORP,D,"$84,439",Bachelor's,D
2019,GLENMARK GENERICS INC USA,D,"$80,424",Bachelor's,D
 , , , ,Master's Degree,D
2796,ARTHUR LAWRENCE LLC,D,"$41,143",Bachelor's,D
7910,KOSMOS ENERGY LLC,D,"$245,000",Master's Degree,D
 , , , ,Professional Degree,D
1588,ATHENA COMPUTER POWER CORP,D,"$35,000",Master's Degree,D
4960,ISOMEDIA LLC,D,"$31,200",Bachelor's,D
 , , , ,Master's Degree,D
5238,ROHM & HAAS CHEMICALS LLC A,D,"$96,260",Doctorate,D
 , , , ,Master's Degree,D
0681,MARYLAND MEDICAL FIRST PA,D,"$165,000",Professional Degree,D
1846,TEKPUNDITS INC,D,"$74,350",Bachelor's,D
 , , , ,Master's Degree,D
9346,GCG CONNECT LLC,D,"$67,250",Master's Degree,D
6286,MEDIWARE SOFTWARE CORPORATIO,D,"$39,130",Bachelor's,D
0981,SAIL ADVISORS RESEARCH INC,D,"$127,500",Master's Degree,D
3336,NEXTDOOR COM,D,"$110,000",Master's Degree,D
1212,YOAKUM COUNTY HOSPITAL,D,"$42,174",Bachelor's,D
1995,LUFKIN INDEPENDENT SCH DIST,D,"$39,675",Bachelor's,D
2403,ANGELO STATE UNIV,D,"$92,000",Doctorate,D
2514,STEPHEN F AUSTIN STATE UNIV,D,"$45,525",Doctorate,D
2579,TEXARKANA INDEPENDENT SCH DI,D,"$43,200",Bachelor's,D
4221,PARKLAND HEALTH & HOSPITAL S,D,"$95,000",Doctorate,D
 , , , ,Master's Degree,D
9637,LEGACY COMMUNITY HEALTH SVCS,D,"$160,000",Professional Degree,D
3164,UNIVERSAL ENSCO INC,D,"$95,500",Master's Degree,D
3882,HARRIS CAPROCK COMMUNICATION,D,"$87,153",Bachelor's,D
7067,ENGINE & COMPRESSOR SUPPLY C,D,"$61,620",Bachelor's,D
4835,GLOBAL SHOP SOLUTIONS INC,D,"$59,754",Bachelor's,D
 , , , ,Master's Degree,D
3271,RICHMOND ANIMAL HOSPITAL,D,"$75,000",Doctorate,D
 , , , ,Professional Degree,D
7063,WHR ARCHITECTS INC,D,"$60,283",Master's Degree,D
5388,THRUSTMASTER OF TEXAS INC,D,"$74,303",Master's Degree,D
3275,STONY LEATHER INC DBA STONY,D,"$61,550",Bachelor's,D
1479,DATAVOX INC,D,"$65,000",Master's Degree,D
3330,COOPER POWER SYSTEMS LLC,D,"$75,000",Doctorate,D
 , , , ,Master's Degree,D
1001,A & B ENVIRONMENTAL SERVICES,D,"$35,215",Doctorate,D
 , , , ,Master's Degree,D
3526,ACTIVE ATHLETE,D,"$34,112",Bachelor's,D
2370,TOTAL E&P USA INC,D,"$128,750",Master's Degree,D
4214,MERRICK SYSTEMS INC,D,"$65,500",Bachelor's,D
 , , , ,Master's Degree,D
5675,RICETEC INC,D,"$125,000",Bachelor's,D
 , , , ,Master's Degree,D
0295,LOPEZ NEGRETE COMMUNICATIONS,D,"$98,375",Bachelor's,D
0885,SATTERFIELD & PONTIKES CONST,D,"$57,870",Master's Degree,D
8850,O'MALLEY & ASSOCIATES P C,D,"$46,248",Bachelor's,D
 , , , ,Master's Degree,D
5483,NABORS INTERNATIONAL INC,D,"$101,000",Bachelor's,D
1682,BILINGUAL BUSINESS SERVICES,D,$11,Bachelor's,D
5861,SHILSON GOLDBERG CHEUNG & AS,D,"$42,315",Master's Degree,D
6924,WESTLAKE CHEMICAL CORPORATIO,D,"$133,315",Bachelor's,D
 , , , ,Master's Degree,D
6534,PULSE NETWORK LLC,D,"$115,619",Bachelor's,D
 , , , ,Doctorate,D
1640,EAGLE MARITIME CONSULTANTS I,D,"$93,000",Master's Degree,D
6387,ADVANCED MED AUTOMATION SYS,D,"$48,380",Associate Degree,D
 , , , ,Bachelor's,D
9866,GEORGE R WILLY PC,D,"$49,598",Bachelor's,D
3542,UNIVERSE TECHNICAL TRANSLATI,D,"$60,798",Bachelor's,D
 , , , ,Master's Degree,D
3601,MASTERWORD SERVICES INC,D,"$65,135",Bachelor's,D
 , , , ,Master's Degree,D
6578,CAP BARBELL INC,D,"$51,727",Master's Degree,D
8132,NCI GROUP INC,D,"$71,000",Bachelor's,D
 , , , ,Master's Degree,D
6982,PARADIGM GEOPHYSICAL CORP,D,"$96,613",Bachelor's,D
 , , , ,Master's Degree,D
5937,BARRY D PAYNE & ASSOCIATES I,D,"$78,720",Master's Degree,D
4453,ELLINGTON & ASSOCIATES INC,D,"$250,000",Doctorate,D
 , , , ,Master's Degree,D
8239,EMERSON PROCESS MGT VALVE AU,D,"$91,209",Master's Degree,D
8474,THE BALDWIN GROUP INC,D,"$63,720",Master's Degree,D
4881,X-RAY X-PRESS ADVANCED DIAGN,D,"$80,000",Master's Degree,D
2178,UR INTERNATIONAL INC,D,"$60,000",Bachelor's,D
8495,HAM LANGSTON & BREZENA LLP,D,"$62,500",Bachelor's,D
1084,INTER-ACTIVE HEALTH CARE INC,D,"$31,886",Bachelor's,D
0691,HRSS LLP,D,"$44,803",Bachelor's,D
 , , , ,Master's Degree,D
5516,TRAVEL MARKETING SVCS INC DB,D,"$74,028",Bachelor's,D
5554,DUCO INC,D,"$100,050",Master's Degree,D
0577,LION PETROLEUM INC,D,"$55,848",Bachelor's,D
2110,TRICON ENERGY INC,D,"$50,167",Bachelor's,D
1534,SER-NINOS CHARTER SCHOOL,D,"$46,379",Bachelor's,D
9691,ZHANG & ASSOCIATES PC,D,"$41,767",Professional Degree,D
4129,COMPLETE SOLUTIONS INC,D,"$81,500",Bachelor's,D
 , , , ,Master's Degree,D
4685,AMERICAN GLOBAL MARITIME INC,D,"$72,000",Bachelor's,D
7438,JE MATADI INC,D,"$63,500",Master's Degree,D
4614,AMADEUS NORTH AMERICA INC,D,"$93,250",Bachelor's,D
8225,MACSTEEL ATMOSPHERE ANNEALIN,D,"$60,767",Master's Degree,D
1723,HCC SERVICE COMPANY,D,"$70,400",Master's Degree,D
5382,ALIEF MONTESSORI COMMUNITY S,D,"$44,800",Bachelor's,D
 , , , ,Master's Degree,D
6372,SULZER CHEMTECH USA INC,D,"$78,476",Bachelor's,D
 , , , ,Doctorate,D
6434,KOREAN JOURNAL HOUSTON INC,D,"$32,324",Bachelor's,D
6875,DATACERT INC,D,"$102,500",Bachelor's,D
 , , , ,Master's Degree,D
8366,CARING PRO HEALTH SERVICES I,D,"$31,580",Bachelor's,D
1592,CHRISTUS ST CATHERINE HOSPIT,D,"$46,842",Bachelor's,D
4870,MCCONNELL & JONES LLP,D,"$76,466",Master's Degree,D
6008,MATTRESS FIRM INC,D,"$96,000",Bachelor's,D
 , , , ,Master's Degree,D
4158,PARTSBASE INC,D,"$44,200",Bachelor's,D
4161,DRILLMEC INC,D,"$65,160",Master's Degree,D
4598,FULWAY INTERNATIONAL INC,D,"$41,184",Master's Degree,D
8153,AMISTCO SEPARATION PRODS INC,D,"$66,000",Bachelor's,D
 , , , ,Master's Degree,D
9157,DAE & ASSOCS LTD DBA GEOTECH,D,"$59,436",Master's Degree,D
0284,MEGHA SOFT TECHNOLOGIES INC,D,"$58,500",Master's Degree,D
5485,HEMPEL USA INC,D,"$95,000",Bachelor's,D
 , , , ,Master's Degree,D
6148,GOLD DEPOT INC,D,"$53,227",Bachelor's,D
 , , , ,Master's Degree,D
8370,NEWQUEST LLC,D,"$88,766",Master's Degree,D
9093,JAGUAR EXPLORATION INC,D,"$61,986",Bachelor's,D
 , , , ,Master's Degree,D
5802,NEXT-G COMMUNICATION INC,D,"$58,244",Master's Degree,D
6699,S4 CONSULTANTS INC,D,"$73,164",Bachelor's,D
7352,LLOYDS REGISTER AMERICAS INC,D,"$115,281",Bachelor's,D
 , , , ,Master's Degree,D
7880,CHEMPLAST INC,D,"$58,500",Bachelor's,D
1953,OCEAN FLOW INTERNATIONAL LLC,D,"$114,400",Bachelor's,D
 , , , ,Doctorate,D
0755,GL NOBLE DENTON INC,D,"$125,000",Bachelor's,D
 , , , ,Master's Degree,D
2481,IDERA INC,D,"$75,555",Bachelor's,D
6287,CANAM INC,D,"$64,340",Bachelor's,D
 , , , ,Master's Degree,D
5500,LANDY ENERGY SERVICES INC,D,"$64,126",Doctorate,D
 , , , ,Master's Degree,D
6191,CSOFT TECHNOLOGIES LP,D,"$91,553",Bachelor's,D
 , , , ,Master's Degree,D
6531,Q-HUB LOGISTICS CORPORATION,D,"$36,970",Bachelor's,D
 , , , ,Master's Degree,D
8892,OHMSTEDE LTD,D,"$63,250",Bachelor's,D
9381,RISKBYTES INC,D,"$103,000",Master's Degree,D
0001,BITSWAVE INC,D,"$67,500",Master's Degree,D
0231,APERIA SOLUTIONS INC,D,"$61,000",Master's Degree,D
3208,SCREENTEK INC,D,"$67,771",Bachelor's,D
 , , , ,Master's Degree,D
4726,IPC GROUP INC,D,"$39,894",Bachelor's,D
1942,DOF SUBSEA USA INC,D,"$113,000",Bachelor's,D
3855,NET MATRIX SOLUTIONS INC,D,"$63,939",Bachelor's,D
8417,BESTCARE LABORATORY SERVICES,D,"$47,840",Bachelor's,D
 , , , ,Professional Degree,D
8215,EAGLE ACADEMY PUBLIC CHARTER,D,"$48,075",Bachelor's,D
9424,EALLIANCE CORP,D,"$55,600",Bachelor's,D
8973,DEEP CREEK RNC LLC DBA PORT,D,"$83,200",Bachelor's,D
4593,LIQUIDATE DIRECT LLC DBA SOL,D,"$72,000",Bachelor's,D
 , , , ,Master's Degree,D
2342,BRITISH ELITE SOCCER TRAININ,D,"$32,000",Bachelor's,D
2648,0,D,"$34,250",Master's Degree,D
8216,CORSAIR INVESTMENTS LLC DBA,D,"$125,000",Bachelor's,D
1282,DUNAN PRECISION INC,D,"$46,164",Master's Degree,D
7232,VALUE GLOBAL LLC,D,"$97,500",Bachelor's,D
 , , , ,Master's Degree,D
3091,MAESTRO TECHNOLOGIES INC,D,"$70,000",Bachelor's,D
1379,SPRING BRANCH INDEPENDENT SC,D,"$50,526",Bachelor's,D
5185,CH REYNOLDS ELECTRIC INC,D,"$97,000",Master's Degree,D
6360,ALUM ROCK UNION ELEMENTARY S,D,"$80,163",Bachelor's,D
8244,ASE U S INC,D,"$73,564",Master's Degree,D
9204,BIGGS CARDOSA ASSOCIATES,D,"$67,535",Master's Degree,D
9661,MAMMOTH UNIFIED SCHOOL DIST,D,"$10,400",Master's Degree,D
9911,MAUNLAD DEV T INC DBA TWIN P,D,"$31,720",Bachelor's,D
1131,MICROLAND ELECTRONICS CORP,D,"$44,715",Master's Degree,D
6143,ZINUS INC,D,"$54,582",Bachelor's,D
8960,VITESSE SEMICONDUCTOR CORP,D,"$86,500",Master's Degree,D
1736,APTEAN,D,"$127,093",Bachelor's,D
 , , , ,Master's Degree,D
2971,PERIPHERAL COMPUTER SUPPORT,D,"$62,562",Bachelor's,D
4300,AITECH INTERNATIONAL CORPORA,D,"$61,100",Master's Degree,D
8504,QUICKLOGIC CORP,D,"$106,000",Doctorate,D
 , , , ,Master's Degree,D
3685,PROMISE TECHNOLOGY INC,D,"$89,002",Bachelor's,D
 , , , ,Master's Degree,D
9105,SANTA CLARA UNIFIED SCH DIST,D,"$47,910",Bachelor's,D
0059,A & A COMPUTERS INC,D,"$60,000",Bachelor's,D
 , , , ,Master's Degree,D
0148,OAK GROVE SCHOOL DIST,D,"$66,733",Missing Education,D
 , , , ,Master's Degree,D
2329,PARAMIT CORP,D,"$112,500",Bachelor's,D
 , , , ,Master's Degree,D
4621,PERICOM SEMICONDUCTOR CORP,D,"$87,136",Bachelor's,D
 , , , ,Master's Degree,D
7102,TJ CROSS ENGIENEERS INC,D,"$67,236",Master's Degree,D
9943,REAL TIME INNOVATIONS INC,D,"$96,000",Bachelor's,D
 , , , ,Master's Degree,D
1197,SUNRISE TELECOM INC,D,"$93,268",Master's Degree,D
1941,MOSYS INC,D,"$119,300",Doctorate,D
 , , , ,Master's Degree,D
8773,IMERYS FILTRATION MINERALS I,D,"$86,211",Master's Degree,D
9902,MICROAUTOMATION INC,D,"$88,500",Master's Degree,D
0684,TEAM RESEARCH INC,D,"$56,132",Master's Degree,D
0722,SALINAS UNION HIGH SCHOOL DI,D,"$69,737",Bachelor's,D
 , , , ,Master's Degree,D
2161,MIPS TECHNOLOGIES INC,D,"$108,736",Master's Degree,D
5128,CHROMA ATE INC,D,"$64,663",Bachelor's,D
 , , , ,Doctorate,D
8334,ANASPEC INC,D,"$49,837",Master's Degree,D
8878,AERIS COMMUNICATION INC,D,"$90,500",Master's Degree,D
4280,AOPEN AMERICA INC,D,"$58,436",Master's Degree,D
8640,FUJITSU LABORATORIES OF AMER,D,"$112,528",Doctorate,D
8853,A P R INC,D,"$72,800",Master's Degree,D
0768,INITIO CORP,D,"$105,000",Bachelor's,D
1695,APPLIED KOMATSU TECH AKT AME,D,"$97,634",Master's Degree,D
4943,PCTEL INC,D,"$98,350",Bachelor's,D
 , , , ,Master's Degree,D
5025,MINDSOURCE INC,D,"$81,875",Bachelor's,D
1820,PACTRON HJPC CORPORATION,D,"$67,000",Master's Degree,D
9144,AMLOGIC INC,D,"$87,586",Master's Degree,D
3498,APTIFY CORP,D,"$70,000",Master's Degree,D
4318,AVALONBAY COMMUNITIES INC,D,"$80,000",Bachelor's,D
 , , , ,Master's Degree,D
4992,BVS INC,D,"$63,500",Master's Degree,D
5505,NETIQ CORP DBA ATTACHMATE,D,"$101,785",Bachelor's,D
 , , , ,Master's Degree,D
7545,ARASAN CHIP SYSTEMS INC,D,"$74,649",Bachelor's,D
 , , , ,Master's Degree,D
4057,SILICON MOTION INC,D,"$95,096",Master's Degree,D
6458,INTUITIVE SURGICAL INC,D,"$90,669",Bachelor's,D
 , , , ,Master's Degree,D
4779,ANALOG BITS INC,D,"$108,000",Master's Degree,D
6895,DECARTA INC,D,"$117,500",Bachelor's,D
 , , , ,Some College,D
8588,APPLESEED MONTESSORI SCHOOL,D,"$40,445",Bachelor's,D
 , , , ,Master's Degree,D
2998,SONIC MANUFACTURING TECHNOLO,D,"$66,651",Bachelor's,D
 , , , ,Master's Degree,D
4547,TSMC TECH INC,D,"$83,811",Associate Degree,D
 , , , ,Master's Degree,D
5313,GONZALES UNIFIED SCH DIST,D,"$65,071",Bachelor's,D
1466,EFFONE SOFTWARE INC,D,"$72,500",Bachelor's,D
1625,CEPHEID,D,"$67,404",Bachelor's,D
 , , , ,Master's Degree,D
7801,ALLVIA INC,D,"$90,383",Bachelor's,D
 , , , ,Master's Degree,D
9649,OCLARO TECHNOLOGY INC,D,"$111,263",Doctorate,D
 , , , ,Master's Degree,D
0398,TECHPOINT SOLUTIONS INC,D,"$72,500",Bachelor's,D
9873,TERIX COMPUTER COMPANY INC,D,"$102,502",Bachelor's,D
5517,OTM SOFTWARE PROFESSIONALS I,D,"$115,000",Master's Degree,D
5658,PENPOWER INC,D,"$38,395",Master's Degree,D
7174,CCS ASSOCIATES INC,D,"$63,649",Doctorate,D
 , , , ,Master's Degree,D
7712,ADEM LLC,D,"$67,215",Bachelor's,D
 , , , ,Master's Degree,D
2584,VIEN THAO MEDIA INC,D,"$39,843",Bachelor's,D
3552,ROCHE DIAGNOSTICS OPERATIONS,D,"$97,166",Bachelor's,D
 , , , ,Master's Degree,D
4600,SYSTEM ARCHITECTURE INFO TEC,D,"$90,000",Bachelor's,D
 , , , ,Master's Degree,D
7134,ENVISION PERIPHERALS INC,D,"$39,593",Bachelor's,D
 , , , ,Master's Degree,D
7413,IRISLOGIC INC,D,"$88,500",Bachelor's,D
 , , , ,Master's Degree,D
6739,MELLANOX TECHNOLOGIES INC,D,"$137,500",Bachelor's,D
 , , , ,Master's Degree,D
0721,PHASE 3 COMMUNICATIONS INC,D,"$27,309",Bachelor's,D
3902,FUTURE DIAL INC,D,"$67,737",Bachelor's,D
2705,YESVIDEO INC,D,"$147,500",Bachelor's,D
 , , , ,Master's Degree,D
3033,LG DISPLAY AMERICA INC,D,"$62,740",Bachelor's,D
3605,COMPUSHARP INC,D,"$64,000",Master's Degree,D
4111,NEXINFO SOLUTIONS INC,D,"$54,000",Bachelor's,D
 , , , ,Master's Degree,D
5745,VEDAMS INC,D,"$55,000",Bachelor's,D
 , , , ,Master's Degree,D
5870,SUN FRESH INTERNATIONAL LLC,D,"$120,000",Bachelor's,D
7912,CASHEDGE INC,D,"$131,584",Bachelor's,D
 , , , ,Master's Degree,D
9352,TOUCHCOMMERCE INC,D,"$116,000",Bachelor's,D
 , , , ,Master's Degree,D
0922,REGALIX INC,D,"$85,835",Bachelor's,D
 , , , ,Master's Degree,D
2808,LYNDA COM INC,D,"$107,500",Bachelor's,D
 , , , ,Master's Degree,D
0040,ANVITA HEALTH,D,"$111,000",Doctorate,D
 , , , ,Master's Degree,D
0534,ARRAY NETWORKS INC,D,"$86,476",Bachelor's,D
 , , , ,Master's Degree,D
3869,DIGITAL ENERGY INC,D,"$34,549",Master's Degree,D
7895,ALLWIN21 CORP,D,"$77,250",Bachelor's,D
2594,GENOMIC HEALTH INC,D,"$36,579",Doctorate,D
2646,COADNA PHOTONICS INC,D,"$72,250",Doctorate,D
 , , , ,Master's Degree,D
4439,POM WONDERFUL LLC,D,"$113,850",Bachelor's,D
5420,SAINERGY INC,D,"$89,319",Master's Degree,D
0739,BILLEO INC,D,"$102,500",Bachelor's,D
 , , , ,Master's Degree,D
1099,MULTIPLE INTELLIGENCE TRAINI,D,"$41,142",Bachelor's,D
5343,NORTHERN DIGITAL INC,D,"$69,099",Master's Degree,D
4214,LASER COMPONENTS DG INC,D,"$66,315",Master's Degree,D
1925,MASTERMIND EDUCATIONAL SVCS,D,"$66,000",Bachelor's,D
8147,CYBERTEC INC,D,"$96,132",Bachelor's,D
 , , , ,Master's Degree,D
3175,TOTAL PAPER SVCS INC,D,"$53,800",Bachelor's,D
6371,SHUTTERSTOCK IMAGES LLC,D,"$130,257",Bachelor's,D
 , , , ,Master's Degree,D
5926,IRTANKI INC,D,"$87,300",Bachelor's,D
 , , , ,Master's Degree,D
7930,METROWORTH CONSULTING LLC,D,"$297,492",Bachelor's,D
 , , , ,Some College,D
1685,ONESTOP INTERNET INC,D,"$88,750",Bachelor's,D
8453,NOBEL BIOCARE PROCERA LLC,D,"$77,500",Master's Degree,D
2596,ELITE MODEL MANAGEMENT CORPO,D,"$63,000",No Diploma,D
6791,ONE INC,D,"$85,843",Bachelor's,D
 , , , ,Master's Degree,D
9459,KAMTEK INC,D,"$56,805",Bachelor's,D
 , , , ,Some College,D
3685,INNODISK USA CORP,D,"$53,643",Bachelor's,D
4295,DELTA CHARTER SCHOOL,D,"$65,459",Master's Degree,D
9683,SKYLINE HOSPITALITY INC,D,"$62,920",Bachelor's,D
 , , , ,Professional Degree,D
6813,GOOD VENTURE CORP,D,"$57,149",Bachelor's,D
5079,SAVVYSHERPA INC,D,"$71,247",Doctorate,D
